population_size,sex,age,ethnicity,pa_id
85,male,Age 16 to 17,asian,9
44,male,Age 18 to 19,asian,9
86,male,Age 20 to 24,asian,9
144,male,Age 25 to 29,asian,9
216,male,Age 30 to 34,asian,9
255,male,Age 35 to 39,asian,9
277,male,Age 40 to 44,asian,9
237,male,Age 45 to 49,asian,9
153,male,Age 50 to 54,asian,9
119,male,Age 55 to 59,asian,9
75,male,Age 60 to 64,asian,9
52,male,Age 65 to 69,asian,9
56,male,Age 70 to 74,asian,9
32,male,Age 75 to 79,asian,9
10,male,Age 80 to 84,asian,9
7,male,Age 85 and over,asian,9
700,female,Age 15 and below,asian,9
79,female,Age 16 to 17,asian,9
59,female,Age 18 to 19,asian,9
85,female,Age 20 to 24,asian,9
170,female,Age 25 to 29,asian,9
293,female,Age 30 to 34,asian,9
330,female,Age 35 to 39,asian,9
317,female,Age 40 to 44,asian,9
217,female,Age 45 to 49,asian,9
146,female,Age 50 to 54,asian,9
103,female,Age 55 to 59,asian,9
70,female,Age 60 to 64,asian,9
55,female,Age 65 to 69,asian,9
47,female,Age 70 to 74,asian,9
22,female,Age 75 to 79,asian,9
16,female,Age 80 to 84,asian,9
9,female,Age 85 and over,asian,9
87,male,Age 15 and below,black,9
15,male,Age 16 to 17,black,9
11,male,Age 18 to 19,black,9
17,male,Age 20 to 24,black,9
39,male,Age 25 to 29,black,9
31,male,Age 30 to 34,black,9
38,male,Age 35 to 39,black,9
35,male,Age 40 to 44,black,9
65,male,Age 45 to 49,black,9
39,male,Age 50 to 54,black,9
22,male,Age 55 to 59,black,9
7,male,Age 60 to 64,black,9
3,male,Age 65 to 69,black,9
5,male,Age 70 to 74,black,9
6,male,Age 75 to 79,black,9
3,male,Age 80 to 84,black,9
0,male,Age 85 and over,black,9
107,female,Age 15 and below,black,9
13,female,Age 16 to 17,black,9
8,female,Age 18 to 19,black,9
15,female,Age 20 to 24,black,9
32,female,Age 25 to 29,black,9
37,female,Age 30 to 34,black,9
49,female,Age 35 to 39,black,9
35,female,Age 40 to 44,black,9
69,female,Age 45 to 49,black,9
26,female,Age 50 to 54,black,9
16,female,Age 55 to 59,black,9
8,female,Age 60 to 64,black,9
6,female,Age 65 to 69,black,9
10,female,Age 70 to 74,black,9
5,female,Age 75 to 79,black,9
3,female,Age 80 to 84,black,9
1,female,Age 85 and over,black,9
120,male,Age 15 and below,other,9
14,male,Age 16 to 17,other,9
6,male,Age 18 to 19,other,9
19,male,Age 20 to 24,other,9
28,male,Age 25 to 29,other,9
26,male,Age 30 to 34,other,9
28,male,Age 35 to 39,other,9
35,male,Age 40 to 44,other,9
31,male,Age 45 to 49,other,9
33,male,Age 50 to 54,other,9
29,male,Age 55 to 59,other,9
20,male,Age 60 to 64,other,9
11,male,Age 65 to 69,other,9
3,male,Age 70 to 74,other,9
4,male,Age 75 to 79,other,9
1,male,Age 80 to 84,other,9
3,male,Age 85 and over,other,9
100,female,Age 15 and below,other,9
8,female,Age 16 to 17,other,9
9,female,Age 18 to 19,other,9
13,female,Age 20 to 24,other,9
29,female,Age 25 to 29,other,9
29,female,Age 30 to 34,other,9
36,female,Age 35 to 39,other,9
39,female,Age 40 to 44,other,9
30,female,Age 45 to 49,other,9
22,female,Age 50 to 54,other,9
18,female,Age 55 to 59,other,9
10,female,Age 60 to 64,other,9
7,female,Age 65 to 69,other,9
4,female,Age 70 to 74,other,9
4,female,Age 75 to 79,other,9
0,female,Age 80 to 84,other,9
4,female,Age 85 and over,other,9
7402,male,Age 15 and below,white,11
1086,male,Age 16 to 17,white,11
940,male,Age 18 to 19,white,11
2350,male,Age 20 to 24,white,11
2237,male,Age 25 to 29,white,11
2275,male,Age 30 to 34,white,11
2812,male,Age 35 to 39,white,11
3279,male,Age 40 to 44,white,11
3179,male,Age 45 to 49,white,11
2869,male,Age 50 to 54,white,11
2748,male,Age 55 to 59,white,11
3196,male,Age 60 to 64,white,11
2473,male,Age 65 to 69,white,11
1797,male,Age 70 to 74,white,11
