PA_ID,electorate,votes,non_votes,con_votes,lab_votes,libdem_votes,green_votes,ukip_votes,plaid_votes,other_votes
439,71475,44483,26992,11527,17529,5718,1152,8557,0,0
440,71652,43137,28515,8187,23630,1589,839,8892,0,0
442,68129,49032,19097,28152,7645,3330,1732,8173,0,0
443,78978,50689,28289,10076,25356,5453,5890,3451,0,463
444,76174,57247,18927,26153,7274,16571,2497,3963,0,789
447,64573,44448,20125,20978,15525,1487,1043,5415,0,0
448,70817,46854,23963,12968,19691,2957,0,10738,0,500
449,65209,43921,21288,26202,6308,3745,2313,5353,0,0
451,72530,47075,25455,18684,16759,1774,1218,7485,0,1155
452,68246,42606,25640,16020,14994,1265,1023,9152,0,152
453,73274,47963,25311,18120,0,2008,3401,6731,0,17703
454,58940,37882,21058,6569,15554,4904,992,5085,4348,430
455,72557,47393,25164,23745,6102,5572,2198,7956,0,1820
456,82081,51044,31037,12962,29886,2149,2463,3128,0,456
457,73105,45390,27715,21343,10806,2828,1450,8660,0,303
458,71639,41903,29736,14585,8184,9344,3145,5595,0,1050
459,57291,40556,16735,16383,11414,780,1452,4257,2518,3752
460,59981,33469,26512,6688,0,1244,1643,5139,0,18755
461,70533,50927,19606,23637,19136,1926,1539,4689,0,0
462,63923,42813,21110,23018,12838,2717,2067,1989,0,184
463,77174,53220,23954,29088,6705,1622,1529,11858,0,2418
464,73232,50494,22738,23217,16697,3719,3214,3647,0,0
465,72567,48404,24163,23082,16432,2355,1406,4826,0,303
466,64826,40919,23907,6630,0,7558,880,7516,0,18335
467,65531,44098,21433,20771,13717,1349,960,7133,0,168
468,73429,51349,22080,29151,6578,5369,3434,6817,0,0
470,51811,31538,20273,2116,15976,474,453,3998,8521,0
471,77379,52243,25136,25404,11798,2756,2193,8250,0,1842
472,79062,53999,25063,27744,7124,3465,2313,8194,0,5159
473,77303,59101,18202,34404,7296,11389,3548,2464,0,0
474,77248,45430,31818,7742,20961,4667,1382,8519,0,2159
475,77119,52516,24603,23142,10396,1251,1516,16009,0,202
476,71935,43608,28327,20241,10765,1459,2195,8948,0,0
477,72594,49178,23416,25067,10268,1413,1222,11208,0,0
478,66519,48398,18121,26285,5749,8573,2280,5511,0,0
480,73779,49024,24755,22847,17193,806,1046,6862,0,270
481,74275,47019,27256,10945,20501,1992,0,13204,0,377
482,63698,37823,25875,4656,19860,1093,0,11414,0,800
483,71655,49006,22649,24040,13695,2776,1415,6855,0,225
484,73216,51222,21994,30521,10297,2537,1801,5598,0,468
485,73771,50052,23719,29901,7767,3362,2071,6951,0,0
486,73278,55164,18114,28354,14525,2783,3559,5943,0,0
488,79693,54603,25090,30383,8383,4407,2325,8678,0,427
489,80615,57563,23052,32926,6791,6079,2174,7935,0,1658
490,75825,54433,21392,25392,12660,10076,2034,4271,0,0
491,76607,50361,26246,20250,5150,12077,2318,8503,0,2063
492,75262,46256,29006,9087,26378,2046,1762,6983,0,0
493,77720,48397,29323,7707,28950,2737,2237,6766,0,0
494,65570,48312,17258,18491,4510,16022,3051,5720,0,518
495,74291,43261,31030,8823,21364,1614,2251,7806,0,1403
496,69582,50705,18877,28192,7771,5099,2762,6152,0,729
497,73511,47739,25772,20613,14413,2159,2185,8162,0,207
498,64025,36941,27084,12259,15393,770,887,6329,0,1303
499,62844,38716,24128,11432,18275,1370,1213,6426,0,0
500,67744,49021,18723,14513,26359,2086,1184,4879,0,0
501,76082,52804,23278,27725,14168,1920,1465,7389,0,137
502,71958,50124,21834,28531,6448,3937,2238,8970,0,0
503,70874,40053,30821,4407,22663,1802,1712,8856,0,613
504,72321,44173,28148,4917,24308,4278,6999,3296,0,375
505,72351,55481,16870,7544,19862,22215,1772,3575,0,513
506,67950,42048,25902,6792,20269,4746,2566,7315,0,360
507,70422,41685,28737,7242,21439,2226,1117,9128,0,533
508,73349,50698,22651,22833,18186,1094,1108,7399,0,78
509,70464,50542,19922,25269,15645,1949,2657,4479,0,543
510,76400,54102,22298,24628,15063,4268,2247,7813,0,83
511,78858,52573,26285,27041,10547,3148,2575,9262,0,0
512,76018,49378,26640,24425,9673,1563,1185,12257,0,275
513,76645,54559,22086,30248,9487,4057,3116,7651,0,0
514,87972,61944,26028,34805,10690,3500,0,9716,0,3233
515,86366,48275,38091,16085,23421,1275,1220,6274,0,0
516,77956,54779,23177,26956,5693,14054,1632,6361,0,83
517,80161,58942,21219,31540,8441,7486,3806,7669,0,0
518,69380,51110,18270,25439,12690,4029,2802,6150,0,0
519,83281,60309,22972,31960,4419,11692,5434,6439,0,365
520,76460,49207,27253,29303,6122,1466,1580,10736,0,0
521,76489,52370,24119,24313,18368,2312,0,7377,0,0
522,62730,36265,26465,6021,18589,639,1614,7975,0,1427
523,72281,44710,27571,18656,0,1595,1876,6010,0,16573
524,70270,43652,26618,14207,18017,2121,2568,5566,0,1173
525,66876,44509,22367,22175,8154,4129,2083,7803,0,165
526,67326,44101,23225,12330,8468,13652,1230,7429,0,992
527,71592,49079,22513,24386,9114,3163,1724,10234,0,458
528,68705,48767,19938,23606,14429,1348,1390,6293,0,1701
529,63104,42587,20517,21770,11596,1759,1226,6236,0,0
530,72771,49598,23173,29478,9107,1448,1298,8267,0,0
